"country","variable","value"
"Spain","men55_64",5.53
"Spain","men65_plus",4.37
"Estonia","gdp",NA
"Estonia","women15_24",7.87
"Estonia","women25_34",10.7
"Estonia","women35_44",10.7
"Estonia","women45_54",9.94
"Estonia","women55_64",8.68
"Estonia","women65_plus",6.34
"Estonia","men15_24",7.28
"Estonia","men25_34",10.2
"Estonia","men35_44",10.2
"Estonia","men45_54",9.46
"Estonia","men55_64",8.47
"Estonia","men65_plus",7.29
"Ethiopia","gdp",0.767
"Ethiopia","women15_24",2.99
"Ethiopia","women25_34",1.83
"Ethiopia","women35_44",0.88
"Ethiopia","women45_54",0.36
"Ethiopia","women55_64",0.14
"Ethiopia","women65_plus",0.05
"Ethiopia","men15_24",3.91
"Ethiopia","men25_34",3.65
"Ethiopia","men35_44",2.85
"Ethiopia","men45_54",1.84
"Ethiopia","men55_64",0.94
"Ethiopia","men65_plus",0.44
"Finland","gdp",32.9
"Finland","women15_24",9.5
"Finland","women25_34",11.5
"Finland","women35_44",11
"Finland","women45_54",9.73
"Finland","women55_64",8.47
"Finland","women65_plus",7.25
"Finland","men15_24",9.25
"Finland","men25_34",11.2
"Finland","men35_44",10.8
"Finland","men45_54",9.88
"Finland","men55_64",8.83
"Finland","men65_plus",8.03
"Fiji","gdp",8.43
"Fiji","women15_24",8.92
"Fiji","women25_34",8.14
"Fiji","women35_44",7.05
"Fiji","women45_54",6.03
"Fiji","women55_64",5.05
"Fiji","women65_plus",4.01
"Fiji","men15_24",9.03
"Fiji","men25_34",8.58
"Fiji","men35_44",7.84
"Fiji","men45_54",6.97
"Fiji","men55_64",5.79
"Fiji","men65_plus",4.96
"France","gdp",33.9
"France","women15_24",10.1
"France","women25_34",10.2
"France","women35_44",9.18
"France","women45_54",8.26
"France","women55_64",7.28
"France","women65_plus",6.26
"France","men15_24",9.86
"France","men25_34",10.2
"France","men35_44",9.14
"France","men45_54",8.51
"France","men55_64",7.82
"France","men65_plus",7.06
"Micronesia, Fed. Sts.","gdp",3
"Micronesia, Fed. Sts.","women15_24",10
"Micronesia, Fed. Sts.","women25_34",8.52
"Micronesia, Fed. Sts.","women35_44",7.96
"Micronesia, Fed. Sts.","women45_54",6.97
"Micronesia, Fed. Sts.","women55_64",6.12
"Micronesia, Fed. Sts.","women65_plus",5.38
"Micronesia, Fed. Sts.","men15_24",10.3
"Micronesia, Fed. Sts.","men25_34",9.42
"Micronesia, Fed. Sts.","men35_44",9.72
"Micronesia, Fed. Sts.","men45_54",9.56
"Micronesia, Fed. Sts.","men55_64",8.35
"Micronesia, Fed. Sts.","men65_plus",6.69
"Gabon","gdp",18.2
"Gabon","women15_24",7.03
"Gabon","women25_34",6.99
"Gabon","women35_44",5.87
"Gabon","women45_54",3.73
"Gabon","women55_64",1.75
"Gabon","women65_plus",0.63
"Gabon","men15_24",7.1
"Gabon","men25_34",7.24
"Gabon","men35_44",6.1
"Gabon","men45_54",4
"Gabon","men55_64",2.09
"Gabon","men65_plus",0.99
"United Kingdom","gdp",30.7
"United Kingdom","women15_24",10.9
"United Kingdom","women25_34",11.2
"United Kingdom","women35_44",10.6
"United Kingdom","women45_54",10.2
"United Kingdom","women55_64",9.67
"United Kingdom","women65_plus",9.21
"United Kingdom","men15_24",10.9
"United Kingdom","men25_34",11.4
"United Kingdom","men35_44",10.9
"United Kingdom","men45_54",10.8
"United Kingdom","men55_64",10.3
"United Kingdom","men65_plus",9.89
"Georgia","gdp",11.1
"Georgia","women15_24",9.6
"Georgia","women25_34",10.9
"Georgia","women35_44",10.6
"Georgia","women45_54",9.75
"Georgia","women55_64",8.75
"Georgia","women65_plus",6.77
"Georgia","men15_24",9.64
"Georgia","men25_34",10.8
"Georgia","men35_44",10.8
"Georgia","men45_54",10.3
"Georgia","men55_64",9.48
"Georgia","men65_plus",8.04
"Ghana","gdp",2.34
"Ghana","women15_24",5.21
"Ghana","women25_34",4.16
"Ghana","women35_44",3.48
"Ghana","women45_54",2.53
"Ghana","women55_64",1.56
"Ghana","women65_plus",0.77
"Ghana","men15_24",5.71
"Ghana","men25_34",6.09
"Ghana","men35_44",5.82
"Ghana","men45_54",5.37
"Ghana","men55_64",4.15
"Ghana","men65_plus",2.36
"Guinea","gdp",1.51
"Guinea","women15_24",1.48
"Guinea","women25_34",0.91
"Guinea","women35_44",0.55
"Guinea","women45_54",0.26
"Guinea","women55_64",0.11
"Guinea","women65_plus",0.05
"Guinea","men15_24",3.22
"Guinea","men25_34",2.77
"Guinea","men35_44",2.13
"Guinea","men45_54",1.45
"Guinea","men55_64",0.72
"Guinea","men65_plus",0.31
"Gambia","gdp",2.27
"Gambia","women15_24",2.63
"Gambia","women25_34",1.62
"Gambia","women35_44",0.99
"Gambia","women45_54",0.58
"Gambia","women55_64",0.37
"Gambia","women65_plus",0.28
"Gambia","men15_24",4.19
"Gambia","men25_34",3.82
"Gambia","men35_44",2.82
"Gambia","men45_54",1.77
"Gambia","men55_64",1.04
"Gambia","men65_plus",0.65
"Guinea-Bissau","gdp",1.99
"Guinea-Bissau","women15_24",1.48
"Guinea-Bissau","women25_34",1.02
"Guinea-Bissau","women35_44",0.59
"Guinea-Bissau","women45_54",0.28
"Guinea-Bissau","women55_64",0.13
"Guinea-Bissau","women65_plus",0.08
"Guinea-Bissau","men15_24",2.65
"Guinea-Bissau","men25_34",2.71
"Guinea-Bissau","men35_44",2.26
"Guinea-Bissau","men45_54",1.49
"Guinea-Bissau","men55_64",0.73
"Guinea-Bissau","men65_plus",0.37
"Equatorial Guinea","gdp",1.04
"Equatorial Guinea","women15_24",4.33
"Equatorial Guinea","women25_34",3.95
"Equatorial Guinea","women35_44",3.14
"Equatorial Guinea","women45_54",1.95
"Equatorial Guinea","women55_64",0.99
"Equatorial Guinea","women65_plus",0.46
"Equatorial Guinea","men15_24",5.23
"Equatorial Guinea","men25_34",6.44
"Equatorial Guinea","men35_44",6.25
"Equatorial Guinea","men45_54",5.52
"Equatorial Guinea","men55_64",3.79
"Equatorial Guinea","men65_plus",2.49
"Greece","gdp",24.5
"Greece","women15_24",9.98
"Greece","women25_34",9.77
"Greece","women35_44",8.36
"Greece","women45_54",6.7
"Greece","women55_64",5.16
"Greece","women65_plus",3.75
"Greece","men15_24",9.77
"Greece","men25_34",10
"Greece","men35_44",9.21
"Greece","men45_54",8.13
"Greece","men55_64",6.95
"Greece","men65_plus",5.75
"Grenada","gdp",8.81
"Grenada","women15_24",8.48
"Grenada","women25_34",7.03
"Grenada","women35_44",5.66
"Grenada","women45_54",4.46
"Grenada","women55_64",3.44
"Grenada","women65_plus",2.62
